ad	estrutura	tecnica	enquadramento	paleta	status
01	split-horizontal-papel-rasgado	pop-art-halftone	plano-medio	vermelho	REPROVADO estrutura repetida
02	split-horizontal-papel-rasgado	pop-art-halftone	objeto-gigante	azul-petroleo	REPROVADO estrutura repetida
03	split-horizontal-papel-rasgado	pop-art-halftone	escala-impossivel	laranja	REPROVADO estrutura repetida
04	split-horizontal-papel-rasgado	pop-art-halftone	mao-saindo-do-quadro	verde-escuro	REPROVADO estrutura repetida
05	split-horizontal-papel-rasgado	pop-art-halftone	icones-orbitando	vermelho	REPROVADO estrutura repetida
06	split-horizontal-papel-rasgado	pop-art-halftone	quatro-figuras	azul-petroleo	REPROVADO estrutura repetida
07	split-horizontal-papel-rasgado	pop-art-halftone	dois-paineis	laranja	REPROVADO estrutura repetida
08	split-horizontal-papel-rasgado	pop-art-halftone	primeiro-plano-extremo	verde-escuro	REPROVADO estrutura repetida
09	split-horizontal-papel-rasgado	pop-art-halftone	duas-portas	vermelho	REPROVADO estrutura repetida
10	split-horizontal-papel-rasgado	pop-art-halftone	objeto-gigante	azul-petroleo	REPROVADO estrutura repetida
11	split-horizontal-papel-rasgado	pop-art-halftone	dois-blocos	laranja	REPROVADO estrutura repetida
12	split-horizontal-papel-rasgado	pop-art-halftone	grafico-escada	verde-escuro	REPROVADO estrutura repetida
13	split-horizontal-papel-rasgado	pop-art-halftone	objeto-central	vermelho	REPROVADO estrutura repetida
14	split-horizontal-papel-rasgado	pop-art-halftone	mural-frontal	azul-petroleo	REPROVADO estrutura repetida
15	split-horizontal-papel-rasgado	pop-art-halftone	palco-megafone	laranja	REPROVADO estrutura repetida
16	split-horizontal-papel-rasgado	pop-art-halftone	personagem-unico	verde-escuro	REPROVADO estrutura repetida
17	split-horizontal-papel-rasgado	pop-art-halftone	primeiro-plano-extremo	vermelho	REPROVADO estrutura repetida
18	split-horizontal-papel-rasgado	pop-art-halftone	checklist-vertical	azul-petroleo	REPROVADO estrutura repetida
19	split-horizontal-papel-rasgado	pop-art-halftone	tres-paineis	laranja	REPROVADO estrutura repetida
20	split-horizontal-papel-rasgado	pop-art-halftone	grade-videochamada	verde-escuro	REPROVADO estrutura repetida
